region,year,mean,sdev
PHL,2000-2019,-4.1308549429611135e-07,1.609925570464277e-06
PRK,2000-2019,6.2930028123822052e-06,6.4890915771905618e-06
PAK,2000-2019,5.4098394240016883e-06,5.1736272154847562e-06
QAT,2000-2019,-8.2956860321923199e-06,6.1996030499708669e-06
PRI,2000-2019,-3.9656899118930467e-06,4.7655654145532343e-06
IND,2000-2019,1.5076291750832593e-06,2.8885543270300428e-06
SSD,2000-2019,-6.1207460565117545e-07,3.4107751164293915e-06
HMD,2000-2019,nan,nan
MYS,2000-2019,-2.754018891782203e-06,2.7627151470445089e-06
VGB,2000-2019,-1.7025335069610629e-06,2.8752681715911664e-06
ZWE,2000-2019,-1.7987116691663703e-06,2.4502791669403934e-06
FUND-SSA,2000-2019,8.3649528887991563e-08,1.3901597113378936e-06
TJK,2000-2019,4.5931753012212166e-06,4.8112609146315938e-06
GNB,2000-2019,1.3062646251275636e-06,2.370193508194992e-06
KHM,2000-2019,1.7748490193519102e-06,2.6043631957159555e-06
MDV,2000-2019,-1.0155956385579598e-06,2.5796455070987063e-06
PNG,2000-2019,-7.5635356287599922e-07,1.0129241583029369e-06
FUND-CAN,2000-2019,1.4547367487121095e-05,1.1847663296188345e-05
WSM,2000-2019,-9.3227007757087229e-07,2.1617036985248632e-06
MKD,2000-2019,6.4491023005920854e-06,6.1378981006770991e-06
AZE,2000-2019,3.5131835314571718e-06,4.8752673424934543e-06
UMI,2000-2019,-7.8640314966915718e-07,2.0155496223010061e-06
COD,2000-2019,-4.3555861459935746e-07,1.4140609031930368e-06
LTU,2000-2019,1.1545118137368147e-05,1.1348084619433568e-05
MNP,2000-2019,-1.4058567400741795e-06,3.1084570238100583e-06
JOR,2000-2019,2.0062911588652809e-07,2.5674463583076144e-06
